title,creation_date,medium,department,item_width,item_height,item_depth,classification,full_name,nationality,img_url,value
"Radierung für ""24 Essais de Jakovski""",1934,drypoint,Fine Arts,14.25,19.25,0.0,prints,Vassily Kandinsky,Russian,https://cmoa-collection-images.s3.amazonaws.com/thing/29669/63.jpg,1
"Rue (du Chevalier) de la Barre-Montmarte, 18e arrondissement",1899-1900,albumen print,Photography,6.75,8.25,0.0,photographs,Eugène Atget,French,https://cmoa-collection-images.s3.amazonaws.com/thing/98596/64.jpg,1
"Cabaret de l'Épée de Bois - ou fut assassiné, sous la Régence, le financier Lacroix par le Comte de Horn, rue Quincampoix 54 (4e arrondissement)",1901,albumen print,Photography,7.0,8.75,0.0,photographs,Eugène Atget,French,https://cmoa-collection-images.s3.amazonaws.com/thing/98607/65.jpg,1
"Hôtel, 50 rue de Turenne",1913,albumen print,Photography,8.75,6.938,0.0,photographs,Eugène Atget,French,https://cmoa-collection-images.s3.amazonaws.com/thing/98598/66.jpg,1
"Façade d'une maison, quai de l'Horloge 21",1913,albumen print,Photography,7.0,8.563,0.0,photographs,Eugène Atget,French,https://cmoa-collection-images.s3.amazonaws.com/thing/98600/67.jpg,1
Snuff bottle: Carved Glass,mid 10th century,glass,Decorative Arts and Design,2.25,3.0,1.125,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1788/CMA-82-H.jpg,1
Snuff bottle: Carved Glass,18th-19th century,glass,Decorative Arts and Design,1.75,2.0,0.75,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1795/CMA-84-H.jpg,1
Snuff bottle,20th century,glass,Decorative Arts and Design,1.625,2.5,0.75,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1807/CMA-90-H.jpg,1
Snuff bottle,early 19th century,glass,Decorative Arts and Design,1.5,2.5,0.875,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1808/CMA-91-H.jpg,1
English Ivory Work Box,18th century,"ivory, metal, wood",Decorative Arts and Design,13.25,12.5,11.0,containers,unknown English,English,https://cmoa-collection-images.s3.amazonaws.com/thing/1680/CMA-5783-1.jpg,1
Bust of Boy Crying,,ivory,Decorative Arts and Design,2.5,5.625,2.5,sculpture,unknown,undetermined,https://cmoa-collection-images.s3.amazonaws.com/thing/0657/CMA-D1100.jpg,1
Bust of Boy Frowning,,ivory,Decorative Arts and Design,3.125,5.375,3.125,sculpture,unknown,undetermined,https://cmoa-collection-images.s3.amazonaws.com/thing/0482/CMA-D1101.jpg,1
Portrait of Bacchus,18th century,ivory,Decorative Arts and Design,3.0,3.625,0.25,sculpture,unknown,undetermined,https://cmoa-collection-images.s3.amazonaws.com/thing/0481/CMA-D1102.jpg,1
Snuff bottle,19th century,"lacquer, jade",Decorative Arts and Design,2.5,2.375,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1809/CMA-98-H.jpg,1
New Suburbanism; sectioned perspective,2000,chromogenic print,Heinz Architectural Center,20.0,30.0,0.0,photographs,Lewis.Tsurumaki.Lewis,American,https://cmoa-collection-images.s3.amazonaws.com/thing/13134/203.jpg,1
New Suburbanism; dissected oblique projections,2000,chromogenic print,Heinz Architectural Center,48.0,14.0,0.0,photographs,Lewis.Tsurumaki.Lewis,American,https://cmoa-collection-images.s3.amazonaws.com/thing/30847/205.jpg,1
New Suburbanism; sectioned perspective (aerial),2000,chromogenic print,Heinz Architectural Center,20.0,15.0,0.0,photographs,Lewis.Tsurumaki.Lewis,American,https://cmoa-collection-images.s3.amazonaws.com/thing/30856/206.jpg,1
New Suburbanism; sectioned perspective (street),2000,chromogenic print,Heinz Architectural Center,20.0,14.0,0.0,photographs,Lewis.Tsurumaki.Lewis,American,https://cmoa-collection-images.s3.amazonaws.com/thing/30857/207.jpg,1
New Suburbanism; sectioned perspective (interior),2000,chromogenic print,Heinz Architectural Center,20.0,10.0,0.0,photographs,Lewis.Tsurumaki.Lewis,American,https://cmoa-collection-images.s3.amazonaws.com/thing/30859/208.jpg,1
Wound (Beuys meets Warhol),2002,watercolor on paper,Contemporary Art,18.75,24.688,1.5,drawings and watercolors,Marlene Dumas,South African,https://cmoa-collection-images.s3.amazonaws.com/thing/37604/210.jpg,1
Shadow (Andy meets Warhol),2002,watercolor on paper,Contemporary Art,22.625,28.625,1.5,drawings and watercolors,Marlene Dumas,South African,https://cmoa-collection-images.s3.amazonaws.com/thing/37605/211.jpg,1
MD + AW,2002,watercolor and pencil on paper,Contemporary Art,18.0,18.0,0.0,drawings and watercolors,Marlene Dumas,South African,https://cmoa-collection-images.s3.amazonaws.com/thing/153962/212.jpg,1
Star (Andy Warhol meets David Bowie),2002,watercolor on paper,Contemporary Art,22.75,28.75,1.5,drawings and watercolors,Marlene Dumas,South African,https://cmoa-collection-images.s3.amazonaws.com/thing/29199/213.jpg,1
Figment (Homage to Andy Warhol),2002,watercolor on paper,Contemporary Art,42.25,97.0,2.5,drawings and watercolors,Marlene Dumas,South African,https://cmoa-collection-images.s3.amazonaws.com/thing/225181/214.jpg,1
D'mba (Headdress),20th century,wood and metal,Decorative Arts and Design,12.5,29.0,22.0,Wood,"unknown Guinean, Baga culture",Guinean,https://cmoa-collection-images.s3.amazonaws.com/thing/5175/CMA-2002-28.jpg,1
Platter,c. 1910,lustreware,Decorative Arts and Design,19.25,2.625,19.25,Ceramics,Cantagalli Workshop,Italian,https://cmoa-collection-images.s3.amazonaws.com/thing/8425/CMA-2002-29-1.jpg,1
Ewer,c. 1910,lustreware,Decorative Arts and Design,6.125,8.125,5.75,Ceramics,Cantagalli Workshop,Italian,https://cmoa-collection-images.s3.amazonaws.com/thing/8774/CMA-2002-29-2.jpg,1
Ewer,c. 1910,lustreware,Decorative Arts and Design,5.625,7.875,5.5,Ceramics,Cantagalli Workshop,Italian,https://cmoa-collection-images.s3.amazonaws.com/thing/8775/CMA-2002-29-3.jpg,1
Plate,c. 1910,lustreware,Decorative Arts and Design,12.125,1.125,12.0,Ceramics,unknown Italian,Italian,https://cmoa-collection-images.s3.amazonaws.com/thing/8426/CMA-2002-29-4.jpg,1
Portrait of a Young Girl,c. 1940,watercolor on paper,Fine Arts,16.0,22.0,0.0,drawings and watercolors,Marie Laurencin,French,https://cmoa-collection-images.s3.amazonaws.com/thing/99678/220_cropped.jpg,1
Snuff bottle,c. 1880-1890,"amber, jade",Decorative Arts and Design,1.75,3.0,0.75,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1279/CMA-56-H.jpg,1
Snuff bottle,18th century,amber,Decorative Arts and Design,3.25,1.25,2.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1290/CMA-57-H.jpg,1
Snuff bottle,18th century,amber,Decorative Arts and Design,2.0,2.0,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1297/CMA-58-H.jpg,1
Snuff bottle,18th century,amber,Decorative Arts and Design,2.0,2.5,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1302/CMA-59-H.jpg,1
Snuff bottle,18th century,amber,Decorative Arts and Design,1.875,2.5,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1306/CMA-60-H.jpg,1
Carved Glass Snuff Bottle,18th-19th century,glass,Decorative Arts and Design,1.875,2.125,0.75,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1398/CMA-72-H.jpg,1
Snuff bottle: Pekin Glass,18th-19th century,glass,Decorative Arts and Design,1.25,2.0,1.0,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1417/CMA-73-H.jpg,1
Snuff bottle: Carved Glass,18th-19th century,glass,Decorative Arts and Design,1.75,3.0,1.0,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1418/CMA-74-H.jpg,1
Snuff bottle,18th century,agate,Decorative Arts and Design,2.0,2.5,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/2752/CMA-103-H.jpg,1
Snuff bottle,19th century,agate,Decorative Arts and Design,2.5,3.25,1.375,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1018/CMA-105-H.jpg,1
Snuff bottle,18th century,agate,Decorative Arts and Design,2.25,3.0,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1019/CMA-106-H.jpg,1
Snuff bottle,18th century,agate,Decorative Arts and Design,2.5,3.75,2.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1607/CMA-107-H.jpg,1
Snuff bottle,18th century,glass,Decorative Arts and Design,2.0,3.0,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1020/CMA-111-H.jpg,1
Snuff bottle,19th century,glass,Decorative Arts and Design,1.75,2.75,0.75,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1021/CMA-113-H.jpg,1
Snuff bottle,no date,glass,Decorative Arts and Design,1.5,2.75,1.125,Glass,unknown Chinese|Yen Chung San,Chinese|Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1022/CMA-114-H.jpg,1
Snuff bottle,late 19th century,glass,Decorative Arts and Design,1.25,3.0,1.0,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1024/CMA-117-H.jpg,1
Snuff bottle,18th - 19th century,jade,Decorative Arts and Design,2.0,3.25,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1025/CMA-118-H.jpg,1
Snuff bottle,18th - 19th century,jade,Decorative Arts and Design,1.25,2.0,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1026/CMA-121-H.jpg,1
Snuff bottle,18th - 19th century,jade,Decorative Arts and Design,2.0,2.5,1.5,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1027/CMA-122-H.jpg,1
Snuff bottle,18th - 19th century,amethyst,Decorative Arts and Design,1.5,2.5,1.375,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1028/CMA-124-H.jpg,1
Snuff bottle: Carved Agate,late 19th century,agate,Decorative Arts and Design,2.5,2.5,1.25,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1017/CMA-102-H.jpg,1
Dinner plate,1755-1756,sterling silver,Decorative Arts and Design,9.5,0.75,9.875,containers,Peter Archambo II|Peter Meure,English|English,https://cmoa-collection-images.s3.amazonaws.com/thing/8258/CMA-70-32-2309.jpg,1
Box,c. 1825-1840,mother of pearl,Decorative Arts and Design,3.0,1.25,2.375,containers,unknown Asian,Asian,https://cmoa-collection-images.s3.amazonaws.com/thing/8262/CMA-70-32-2621-1-A-B.jpg,1
Box,c. 1825-1840,mother of pearl,Decorative Arts and Design,3.0,1.25,2.375,containers,unknown Asian,Asian,https://cmoa-collection-images.s3.amazonaws.com/thing/8268/CMA-70-32-2621-2-A-B.jpg,1
Box,c. 1825-1840,mother of pearl,Decorative Arts and Design,2.75,1.25,5.125,containers,unknown Asian,Asian,https://cmoa-collection-images.s3.amazonaws.com/thing/8271/CMA-70-32-2621-3-A-B.jpg,1
Box,c. 1825-1840,mother of pearl,Decorative Arts and Design,3.0,1.375,2.375,containers,unknown Asian,Asian,https://cmoa-collection-images.s3.amazonaws.com/thing/8274/CMA-70-32-2621-4-A-B.jpg,1
Box,c. 1825-1840,mother of pearl,Decorative Arts and Design,3.0,1.375,2.375,containers,unknown Asian,Asian,https://cmoa-collection-images.s3.amazonaws.com/thing/8277/CMA-70-32-2621-5-A-B.jpg,1
Marcel Duchamp,1964,gelatin silver print with hand applied text,Photography,16.0,19.875,0.0,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/29084/309.jpg,1
Jeanne Moreau,1967,gelatin silver print,Photography,14.0,10.938,0.0,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/7974/CMA-2002-33-3.jpg,1
David Hemmings,1968,gelatin silver print,Photography,9.875,8.0,1.375,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/11786/CMA-2002-33-4.jpg,1
Andy Warhol,1972,three gelatin silver prints,Photography,6.875,4.875,1.25,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/7963/CMA-2002-33-51-1.jpg,1
Andy Warhol,1958,gelatin silver print,Photography,19.875,16.0,0.0,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/127460/316-image.jpg,1
Balthus and Setsuko,2000,gelatin silver print,Photography,13.875,11.0,1.375,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/8501/CMA-2002-33-6.jpg,1
A Gursky Gherkin is Just a Very Large Pickle,2001,chromogenic print with hand applied text,Photography,72.0,48.0,1.875,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/94520/318.jpg,1
From the Dead Saint's Shit Series: St. Francis of Assisi's Feces with burning cross....,2001,chromogenic print with hand applied text,Photography,29.625,37.625,0.75,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/94519/319.jpg,1
Duane's Super Shiner: Self Portrait in the Manner of Nan Goldin,2001,chromogenic prints with hand-applied text,Photography,24.5,17.688,0.0,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/7975/CMA-2002-33-9-1.jpg,1
I Like Pussy,2001,toned gelatin silver print with hand applied text,Photography,19.875,15.75,0.0,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/11907/CMA-2002-33-11.jpg,1
An Unfortunate Tryst with Pipilotti Rist,2001,seven chromogenic prints with hand-applied text,Photography,10.0,8.0,0.0,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/11898/CMA-2002-33-12-1.jpg,1
A Duane Michals Photograph of a Sherrie Levine Photograph of a Walker Evans Photograph,2001,gelatin silver print with hand applied text,Photography,14.313,17.312,1.25,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/11891/332.jpg,1
Dr. Duanus's Infernal Tongue-in-Cheeky Journal,2001,chromogenic print,Photography,47.875,72.0,0.0,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/94517/334.jpg,1
Universe (Agnes)/Positive,2000-2002,fiberglass,Contemporary Art,20.0,17.0,30.0,sculpture,Ricci Albenda,American,https://cmoa-collection-images.s3.amazonaws.com/thing/37606/336.jpg,1
Utopia,2002,"wood, polystyrene, cement, acrylic, wheels, porcelain figurine, and pyrite",Contemporary Art,40.0,80.0,38.5,sculpture,Rachel Harrison,American,https://cmoa-collection-images.s3.amazonaws.com/thing/112682/337_02.jpg,1
Refractional Series #28,1967,polyester resin,Contemporary Art,8.813,10.063,2.875,sculpture,Lee Amino,American,https://cmoa-collection-images.s3.amazonaws.com/thing/146692/338-6095lowres.jpg,1
Farmslave in Massecuschitz (small stage),1999,"wood, cloth, mixed media, and single-channel video",Contemporary Art,48.0,84.0,23.0,sculpture,John Bock,German,https://cmoa-collection-images.s3.amazonaws.com/thing/37607/339.jpg,1
Several Drawings on Top of Each Other,1990-2002,"graphite, paper, bronze",Contemporary Art,11.688,8.25,7.875,sculpture,Mark Manders,Dutch,https://cmoa-collection-images.s3.amazonaws.com/thing/26531/341.jpg,1
Driftwood,2001-2002,oil on canvas,Contemporary Art,78.75,129.875,2.0,paintings,Peter Doig,Scottish,https://cmoa-collection-images.s3.amazonaws.com/thing/100686/350.jpg,1
Dining chair,1901,ash,Decorative Arts and Design,17.0,41.0,18.75,Wood,Josef Maria Olbrich,Austrian,https://cmoa-collection-images.s3.amazonaws.com/thing/11270/CMA-2002-40-1_1.jpg,1
Dining chair,1902-1903,oak and original cane,Decorative Arts and Design,17.875,39.5,18.0,Wood,Peter Behrens,German,https://cmoa-collection-images.s3.amazonaws.com/thing/8737/352.jpg,1
Samovar,c. 1904,brass,Decorative Arts and Design,8.5,10.125,5.5,Metals,Bruno Paul,German,https://cmoa-collection-images.s3.amazonaws.com/thing/23520/353.jpg,1
"Study Establishing the Disposition of the Central Group Figures in ""The Sleep of Arthur at Avalon""",c. 1881,"pencil, watercolor and bodycolor on a prepared ground",Fine Arts,26.625,20.75,0.875,drawings and watercolors,Sir Edward Coley Burne-Jones,British,https://cmoa-collection-images.s3.amazonaws.com/thing/0151/354.jpg,1
"Study of Architecture for ""The Sleep of Arthur at Avalon""",c. 1881,"pencil, watercolor and bodycolor on a prepared ground",Fine Arts,26.625,20.75,0.875,drawings and watercolors,Sir Edward Coley Burne-Jones,British,https://cmoa-collection-images.s3.amazonaws.com/thing/0139/355.jpg,1
Acrylic stool,1990,"acrylic, aluminum, and feathers",Decorative Arts and Design,13.25,21.0,16.0,furniture,"Shiro Kuramata|Ishimaru Co., Ltd.",Japanese|Japanese,https://cmoa-collection-images.s3.amazonaws.com/thing/96101/356.jpg,1
Knotted Chair,1996,"gilt aramid rope, carbon core, and epoxy",Decorative Arts and Design,21.0,28.5,23.75,furniture,Marcel Wanders|Droog Design|Cappellini S.p.A.,Dutch|Dutch|Italian,https://cmoa-collection-images.s3.amazonaws.com/thing/8715/358.jpg,1
Uptown Pittsburgh,c. 1923-1924,bromide print,Photography,10.188,12.5,0.0,photographs,Charles K. Archer,American,https://cmoa-collection-images.s3.amazonaws.com/thing/8483/359.jpg,1
The Coat,1961,oil and buttons on canvas,Contemporary Art,61.25,81.0,1.75,paintings,Jim Dine,American,https://cmoa-collection-images.s3.amazonaws.com/thing/20549/360.jpg,1
Dead Boards,1976,gelatin silver prints,Contemporary Art,72.0,72.0,0.0,photographs,Gilbert and George,British,https://cmoa-collection-images.s3.amazonaws.com/thing/26847/361.jpg,1
Two Panels: Green Orange,1970,oil on canvas,Contemporary Art,107.25,70.0,1.25,paintings,Ellsworth Kelly,American,https://cmoa-collection-images.s3.amazonaws.com/thing/119271/362.jpg,1
For Green,1968,acrylic emulsion on canvas,Contemporary Art,108.0,17.0,1.5,paintings,Kenneth Noland,American,https://cmoa-collection-images.s3.amazonaws.com/thing/26935/363.jpg,1
Big Sandwich,1961,"muslin soaked in plaster on wire mesh, painted with enamel",Contemporary Art,31.0,31.0,5.125,sculpture,Claes Oldenburg,American,https://cmoa-collection-images.s3.amazonaws.com/thing/29078/364.jpg,1
Red Painting,1954,oil on canvas,Contemporary Art,33.0,41.0,1.75,paintings,Ad Reinhardt,American,https://cmoa-collection-images.s3.amazonaws.com/thing/225186/365.jpg,1
Australia II,1970,steel,Contemporary Art,48.0,65.0,36.0,sculpture,Richard Peter Stankiewicz,American,https://cmoa-collection-images.s3.amazonaws.com/thing/100684/367.jpg,1
Nazareth das Farinhas,2002,acrylic on canvas,Contemporary Art,94.5,94.0,1.375,paintings,Beatriz Milhazes,Brazilian,https://cmoa-collection-images.s3.amazonaws.com/thing/121694/368.jpg,1
Vista #40,2000,glass,Decorative Arts and Design,6.0,11.75,2.0,Glass,Giles Bettison,Australian,https://cmoa-collection-images.s3.amazonaws.com/thing/0090/CMA-2002-51-1_1.jpg,1
Fuschia/Violet,1994,"glass, blown, with incalmo",Decorative Arts and Design,0.0,17.625,0.0,Glass,Sonja Blomdahl,American,https://cmoa-collection-images.s3.amazonaws.com/thing/11346/CMA-2002-51-2_1.jpg,1
Pale Light,1996,"glass, laminated, cut, and polished",Decorative Arts and Design,16.5,14.5,6.75,Glass,Zoltan Bohus,Hungarian,https://cmoa-collection-images.s3.amazonaws.com/thing/11347/CMA-2002-51-3_1.jpg,1
Watching Your Every Move,1996,"glass, hot and cold worked",Decorative Arts and Design,11.5,26.75,8.0,Glass,John Brekke,American,https://cmoa-collection-images.s3.amazonaws.com/thing/11348/CMA-2002-51-4_1.jpg,1
Hat,1998,glass,Decorative Arts and Design,10.5,4.5,10.75,Glass,Brian Brenno,American,https://cmoa-collection-images.s3.amazonaws.com/thing/11349/CMA-2002-51-5_1.jpg,1
Señorita,1998,glass,Decorative Arts and Design,13.25,26.75,8.5,Glass,Jose Chardiet,American,https://cmoa-collection-images.s3.amazonaws.com/thing/11350/CMA-2002-51-6_1.jpg,1
Early Persian,1988,glass,Decorative Arts and Design,13.375,11.125,10.25,Glass,Dale Chihuly,American,https://cmoa-collection-images.s3.amazonaws.com/thing/11352/375.jpg,1
Oxblood and Blue Persian Set with Red Lip Wraps,1990,glass,Decorative Arts and Design,25.5,14.5,23.0,Glass,Dale Chihuly,American,https://cmoa-collection-images.s3.amazonaws.com/thing/26432/376.jpg,1
Red Spotted Ikebana with Chartreuse Stems,1992,"glass, blown, with gold leaf",Decorative Arts and Design,32.5,44.5,17.0,Glass,Dale Chihuly,American,https://cmoa-collection-images.s3.amazonaws.com/thing/11353/377.jpg,1
Chartreuse Slingbacks with Baby Bows and an Apple,1991,glass,Decorative Arts and Design,13.063,5.125,8.125,Glass,Carol Cohen,American,https://cmoa-collection-images.s3.amazonaws.com/thing/23521/378.jpg,1
Tall Slender Dichroic Neodymium Mongo with Arching Serpents & Cypress Base,1996,glass,Decorative Arts and Design,11.0,22.25,11.0,Glass,Fritz Dreisbach,American,https://cmoa-collection-images.s3.amazonaws.com/thing/11354/379.jpg,1
Divergent Evolution 2,1996,glass,Decorative Arts and Design,13.375,13.25,8.5,Glass,Michael Glancy,American,https://cmoa-collection-images.s3.amazonaws.com/thing/11355/CMA-2002-51-10_1.jpg,1
Erise II,1995,glass,Decorative Arts and Design,15.0,16.938,2.562,sculpture,Pavel Hlava,Czech,https://cmoa-collection-images.s3.amazonaws.com/thing/11356/CMA-2002-51-11_1.jpg,1
Naos,1997,"glass: cast, cut and ground",Decorative Arts and Design,13.75,19.625,2.875,sculpture,Petr Hora,Czech,https://cmoa-collection-images.s3.amazonaws.com/thing/11358/CMA-2002-51-12_1.jpg,1
Jerry Vision Vase #7,2000,"Krystal Klear® glass, laminated, cut and polished;  with dye",Decorative Arts and Design,13.75,19.625,2.875,Glass,Sidney Hutter,American,https://cmoa-collection-images.s3.amazonaws.com/thing/23522/383.jpg,1
